mp_id,formula,host_cation,final_energy_per_atom,formation_energy_per_atom,band_gap,icsd_label,icsd_num,predict_emit,wave
mp-1111114,K2Rb1Sc1F6,Sc,-5.316306475,-3.493238987,5.9978,FALSE,0,2.00026,619.91895
mp-753599,Li2V2F12,V,-5.175319476,-2.926606634,3.1407,FALSE,0,2.00145,619.54986
mp-1111910,K2Rb1Mo1F6,Mo,-4.846934656,-2.892749776,3.0563,FALSE,0,2.0017,619.47239
mp-1111573,K2Tl1Mo1F6,Mo,-4.788381479,-2.695985691,3.7506,FALSE,0,2.002,619.3809
mp-767649,Li4V2F12,V,-5.317653039,-3.106694638,2.006,FALSE,0,2.00224,619.30626
mp-1213758,Cs3Bi1F6,Cs,-4.368783694,-2.841472171,4.2934,FALSE,0,2.00313,619.02996
mp-1110639,Cs1K2Sc1F6,Sc,-5.262722621,-3.448168303,5.6667,FALSE,0,2.00327,618.98779
mp-1112308,Cs1K2Mo1F6,Mo,-4.794955517,-2.849283807,2.8022,FALSE,0,2.0038,618.82339
mp-1113392,Cs1Rb2Mo1F6,Mo,-4.810115076,-2.890416341,3.0636,FALSE,0,2.0038,618.82339
mp-1112240,Cs1K2Y1F6,Y,-5.271399359,-3.443444841,5.2531,FALSE,0,2.0038,618.82339
mp-1113328,Cs1Rb2Y1F6,Y,-5.289234892,-3.487253348,5.5117,FALSE,0,2.0038,618.82339
mp-1113609,Cs1Rb2Sc1F6,Sc,-5.276147261,-3.487565918,5.9162,FALSE,0,2.0038,618.82339
mp-776733,Li12V4F24,V,-5.358691875,-3.177937028,2.5067,FALSE,0,2.00396,618.7742
mp-1209235,Rb2Sc6F20,Sc,-6.580266114,-4.117928181,5.407,FALSE,0,2.00697,617.84823
mp-753390,Li6V2F12,V,-5.362508062,-3.181753215,2.4954,FALSE,0,2.00743,617.70483
mp-556633,Na6V2F12,V,-5.072336679,-3.067501103,2.5442,TRUE,"[191623, 27347, 246825]",2.00933,617.12002
mp-1205999,Rb3Tm1F6,Tm,-5.138724367,-3.527293222,5.2725,FALSE,0,2.01043,616.78455
mp-1206148,Rb3Dy1F6,Dy,-5.125174016,-3.50064773,5.1665,FALSE,0,2.01043,616.78455
mp-1206446,Rb3Er1F6,Er,-5.134612716,-3.513993233,5.237,FALSE,0,2.01043,616.78455
mp-7617,Rb3Y1F6,Y,-5.297977447,-3.487482733,5.2038,TRUE,[19077],2.01043,616.78455
mp-557133,Cs2K1Mo1F6,Mo,-4.915263673,-2.99109162,4.2766,TRUE,[4053],2.01154,616.44252
mp-560710,Cs2Tl1Mo1F6,Mo,-4.814413902,-2.765017429,4.0024,TRUE,[15772],2.01224,616.22839
mp-504729,Cs2Pd1F6,Pd,-4.158352854,-2.417512815,2.3151,TRUE,[28674],2.01389,615.72292
mp-1120790,Na8V4F20,V,-5.305896703,-3.146352766,2.4549,FALSE,0,2.01497,615.3945
mp-1210356,Na6Pd3F18,Pd,-4.171487695,-2.335731451,2.0894,FALSE,0,2.01668,614.8734
mp-1214751,Cs6Sc2F12,Sc,-5.312425609,-3.540870606,6.2612,FALSE,0,2.02323,612.88169
mp-7618,Cs3Y1F6,Y,-5.287208121,-3.502252918,5.4829,TRUE,[19078],2.02443,612.5172
mp-553896,K3Mo1F6,Mo,-4.902643798,-2.93547243,3.3729,TRUE,[4403],2.02699,611.74535
mp-7979,K2Pd1F6,Pd,-4.176720548,-2.388103491,2.0949,TRUE,[27486],2.03281,609.99385
mp-556024,Na6Ti3F18,Ti,-5.63656283,-3.499072118,4.1845,TRUE,[40916],2.03939,608.02534
mp-767631,Li6V2F12,V,-5.348725852,-3.167971005,2.5276,FALSE,0,2.03996,607.85515
mp-555403,K3W1F6,W,-4.907710442,-2.85289073,2.8554,TRUE,[51264],2.04551,606.20447
mp-1112965,Cs3Sc1F6,Sc,-5.30058129,-3.529026287,6.4038,FALSE,0,2.04958,605.00061
mp-1113492,Cs3Y1F6,Y,-5.32111171,-3.536156507,6.0171,FALSE,0,2.05069,604.67531
mp-1114691,Rb3Mo1F6,Mo,-4.856642544,-2.928430639,3.3404,FALSE,0,2.05387,603.73816
mp-1209282,Rb6Sc2F12,Sc,-5.343675828,-3.546581315,6.242,FALSE,0,2.05756,602.65453
mp-1114693,Rb3Sc1F6,Sc,-5.323702527,-3.526608014,6.2281,FALSE,0,2.07028,598.95213
mp-18075,Na6Ti3F18,Ti,-5.594188473,-3.456697761,4.6338,TRUE,[24477],2.08354,595.14138
